[Information]
CS-R5
DSP-RX
V6.60
[RecordingPatch]
Recording PATCH,SOURCE,
PLAYBACK CH 1,NONE,
PLAYBACK CH 2,NONE,
PLAYBACK CH 3,NONE,
PLAYBACK CH 4,NONE,
PLAYBACK CH 5,NONE,
PLAYBACK CH 6,NONE,
PLAYBACK CH 7,NONE,
PLAYBACK CH 8,NONE,
PLAYBACK CH 9,NONE,
PLAYBACK CH 10,NONE,
PLAYBACK CH 11,NONE,
PLAYBACK CH 12,NONE,
PLAYBACK CH 13,NONE,
PLAYBACK CH 14,NONE,
PLAYBACK CH 15,NONE,
PLAYBACK CH 16,NONE,
PLAYBACK CH 17,NONE,
PLAYBACK CH 18,NONE,
PLAYBACK CH 19,NONE,
PLAYBACK CH 20,NONE,
PLAYBACK CH 21,NONE,
PLAYBACK CH 22,NONE,
PLAYBACK CH 23,NONE,
PLAYBACK CH 24,NONE,
PLAYBACK CH 25,NONE,
PLAYBACK CH 26,NONE,
PLAYBACK CH 27,NONE,
PLAYBACK CH 28,NONE,
PLAYBACK CH 29,NONE,
PLAYBACK CH 30,NONE,
PLAYBACK CH 31,NONE,
PLAYBACK CH 32,NONE,
PLAYBACK CH 33,NONE,
PLAYBACK CH 34,NONE,
PLAYBACK CH 35,NONE,
PLAYBACK CH 36,NONE,
PLAYBACK CH 37,NONE,
PLAYBACK CH 38,NONE,
PLAYBACK CH 39,NONE,
PLAYBACK CH 40,NONE,
PLAYBACK CH 41,NONE,
PLAYBACK CH 42,NONE,
PLAYBACK CH 43,NONE,
PLAYBACK CH 44,NONE,
PLAYBACK CH 45,NONE,
PLAYBACK CH 46,NONE,
PLAYBACK CH 47,NONE,
PLAYBACK CH 48,NONE,
PLAYBACK CH 49,NONE,
PLAYBACK CH 50,NONE,
PLAYBACK CH 51,NONE,
PLAYBACK CH 52,NONE,
PLAYBACK CH 53,NONE,
PLAYBACK CH 54,NONE,
PLAYBACK CH 55,NONE,
PLAYBACK CH 56,NONE,
PLAYBACK CH 57,NONE,
PLAYBACK CH 58,NONE,
PLAYBACK CH 59,NONE,
PLAYBACK CH 60,NONE,
PLAYBACK CH 61,NONE,
PLAYBACK CH 62,NONE,
PLAYBACK CH 63,NONE,
PLAYBACK CH 64,NONE,
PLAYBACK CH 65,NONE,
PLAYBACK CH 66,NONE,
PLAYBACK CH 67,NONE,
PLAYBACK CH 68,NONE,
PLAYBACK CH 69,NONE,
PLAYBACK CH 70,NONE,
PLAYBACK CH 71,NONE,
PLAYBACK CH 72,NONE,
PLAYBACK CH 73,NONE,
PLAYBACK CH 74,NONE,
PLAYBACK CH 75,NONE,
PLAYBACK CH 76,NONE,
PLAYBACK CH 77,NONE,
PLAYBACK CH 78,NONE,
PLAYBACK CH 79,NONE,
PLAYBACK CH 80,NONE,
PLAYBACK CH 81,NONE,
PLAYBACK CH 82,NONE,
PLAYBACK CH 83,NONE,
PLAYBACK CH 84,NONE,
PLAYBACK CH 85,NONE,
PLAYBACK CH 86,NONE,
PLAYBACK CH 87,NONE,
PLAYBACK CH 88,NONE,
PLAYBACK CH 89,NONE,
PLAYBACK CH 90,NONE,
PLAYBACK CH 91,NONE,
PLAYBACK CH 92,NONE,
PLAYBACK CH 93,NONE,
PLAYBACK CH 94,NONE,
PLAYBACK CH 95,NONE,
PLAYBACK CH 96,NONE,
PLAYBACK CH 97,NONE,
PLAYBACK CH 98,NONE,
PLAYBACK CH 99,NONE,
PLAYBACK CH 100,NONE,
PLAYBACK CH 101,NONE,
PLAYBACK CH 102,NONE,
PLAYBACK CH 103,NONE,
PLAYBACK CH 104,NONE,
PLAYBACK CH 105,NONE,
PLAYBACK CH 106,NONE,
PLAYBACK CH 107,NONE,
PLAYBACK CH 108,NONE,
PLAYBACK CH 109,NONE,
PLAYBACK CH 110,NONE,
PLAYBACK CH 111,NONE,
PLAYBACK CH 112,NONE,
PLAYBACK CH 113,NONE,
PLAYBACK CH 114,NONE,
PLAYBACK CH 115,NONE,
PLAYBACK CH 116,NONE,
PLAYBACK CH 117,NONE,
PLAYBACK CH 118,NONE,
PLAYBACK CH 119,NONE,
PLAYBACK CH 120,NONE,
PLAYBACK CH 121,NONE,
PLAYBACK CH 122,NONE,
PLAYBACK CH 123,NONE,
PLAYBACK CH 124,NONE,
PLAYBACK CH 125,NONE,
PLAYBACK CH 126,NONE,
PLAYBACK CH 127,NONE,
PLAYBACK CH 128,NONE,
PLAYBACK CH 129,NONE,
PLAYBACK CH 130,NONE,
PLAYBACK CH 131,NONE,
PLAYBACK CH 132,NONE,
PLAYBACK CH 133,NONE,
PLAYBACK CH 134,NONE,
PLAYBACK CH 135,NONE,
PLAYBACK CH 136,NONE,
PLAYBACK CH 137,NONE,
PLAYBACK CH 138,NONE,
PLAYBACK CH 139,NONE,
PLAYBACK CH 140,NONE,
PLAYBACK CH 141,NONE,
PLAYBACK CH 142,NONE,
PLAYBACK CH 143,NONE,
PLAYBACK CH 144,NONE,
PLAYBACK CH 145,NONE,
PLAYBACK CH 146,NONE,
PLAYBACK CH 147,NONE,
PLAYBACK CH 148,NONE,
PLAYBACK CH 149,NONE,
PLAYBACK CH 150,NONE,
PLAYBACK CH 151,NONE,
PLAYBACK CH 152,NONE,
PLAYBACK CH 153,NONE,
PLAYBACK CH 154,NONE,
PLAYBACK CH 155,NONE,
PLAYBACK CH 156,NONE,
PLAYBACK CH 157,NONE,
PLAYBACK CH 158,NONE,
PLAYBACK CH 159,NONE,
PLAYBACK CH 160,NONE,
PLAYBACK CH 161,NONE,
PLAYBACK CH 162,NONE,
PLAYBACK CH 163,NONE,
PLAYBACK CH 164,NONE,
PLAYBACK CH 165,NONE,
PLAYBACK CH 166,NONE,
PLAYBACK CH 167,NONE,
PLAYBACK CH 168,NONE,
PLAYBACK CH 169,NONE,
PLAYBACK CH 170,NONE,
PLAYBACK CH 171,NONE,
PLAYBACK CH 172,NONE,
PLAYBACK CH 173,NONE,
PLAYBACK CH 174,NONE,
PLAYBACK CH 175,NONE,
PLAYBACK CH 176,NONE,
PLAYBACK CH 177,NONE,
PLAYBACK CH 178,NONE,
PLAYBACK CH 179,NONE,
PLAYBACK CH 180,NONE,
PLAYBACK CH 181,NONE,
PLAYBACK CH 182,NONE,
PLAYBACK CH 183,NONE,
PLAYBACK CH 184,NONE,
PLAYBACK CH 185,NONE,
PLAYBACK CH 186,NONE,
PLAYBACK CH 187,NONE,
PLAYBACK CH 188,NONE,
PLAYBACK CH 189,NONE,
PLAYBACK CH 190,NONE,
PLAYBACK CH 191,NONE,
PLAYBACK CH 192,NONE,
PLAYBACK CH 193,NONE,
PLAYBACK CH 194,NONE,
PLAYBACK CH 195,NONE,
PLAYBACK CH 196,NONE,
PLAYBACK CH 197,NONE,
PLAYBACK CH 198,NONE,
PLAYBACK CH 199,NONE,
PLAYBACK CH 200,NONE,
PLAYBACK CH 201,NONE,
PLAYBACK CH 202,NONE,
PLAYBACK CH 203,NONE,
PLAYBACK CH 204,NONE,
PLAYBACK CH 205,NONE,
PLAYBACK CH 206,NONE,
PLAYBACK CH 207,NONE,
PLAYBACK CH 208,NONE,
PLAYBACK CH 209,NONE,
PLAYBACK CH 210,NONE,
PLAYBACK CH 211,NONE,
PLAYBACK CH 212,NONE,
PLAYBACK CH 213,NONE,
PLAYBACK CH 214,NONE,
PLAYBACK CH 215,NONE,
PLAYBACK CH 216,NONE,
PLAYBACK CH 217,NONE,
PLAYBACK CH 218,NONE,
PLAYBACK CH 219,NONE,
PLAYBACK CH 220,NONE,
PLAYBACK CH 221,NONE,
PLAYBACK CH 222,NONE,
PLAYBACK CH 223,NONE,
PLAYBACK CH 224,NONE,
PLAYBACK CH 225,NONE,
PLAYBACK CH 226,NONE,
PLAYBACK CH 227,NONE,
PLAYBACK CH 228,NONE,
PLAYBACK CH 229,NONE,
PLAYBACK CH 230,NONE,
PLAYBACK CH 231,NONE,
PLAYBACK CH 232,NONE,
PLAYBACK CH 233,NONE,
PLAYBACK CH 234,NONE,
PLAYBACK CH 235,NONE,
PLAYBACK CH 236,NONE,
PLAYBACK CH 237,NONE,
PLAYBACK CH 238,NONE,
PLAYBACK CH 239,NONE,
PLAYBACK CH 240,NONE,
PLAYBACK CH 241,NONE,
PLAYBACK CH 242,NONE,
PLAYBACK CH 243,NONE,
PLAYBACK CH 244,NONE,
PLAYBACK CH 245,NONE,
PLAYBACK CH 246,NONE,
PLAYBACK CH 247,NONE,
PLAYBACK CH 248,NONE,
PLAYBACK CH 249,NONE,
PLAYBACK CH 250,NONE,
PLAYBACK CH 251,NONE,
PLAYBACK CH 252,NONE,
PLAYBACK CH 253,NONE,
PLAYBACK CH 254,NONE,
PLAYBACK CH 255,NONE,
PLAYBACK CH 256,NONE,
PLAYBACK CH 257,NONE,
PLAYBACK CH 258,NONE,
PLAYBACK CH 259,NONE,
PLAYBACK CH 260,NONE,
PLAYBACK CH 261,NONE,
PLAYBACK CH 262,NONE,
PLAYBACK CH 263,NONE,
PLAYBACK CH 264,NONE,
PLAYBACK CH 265,NONE,
PLAYBACK CH 266,NONE,
PLAYBACK CH 267,NONE,
PLAYBACK CH 268,NONE,
PLAYBACK CH 269,NONE,
PLAYBACK CH 270,NONE,
PLAYBACK CH 271,NONE,
PLAYBACK CH 272,NONE,
PLAYBACK CH 273,NONE,
PLAYBACK CH 274,NONE,
PLAYBACK CH 275,NONE,
PLAYBACK CH 276,NONE,
PLAYBACK CH 277,NONE,
PLAYBACK CH 278,NONE,
PLAYBACK CH 279,NONE,
PLAYBACK CH 280,NONE,
PLAYBACK CH 281,NONE,
PLAYBACK CH 282,NONE,
PLAYBACK CH 283,NONE,
PLAYBACK CH 284,NONE,
PLAYBACK CH 285,NONE,
PLAYBACK CH 286,NONE,
PLAYBACK CH 287,NONE,
PLAYBACK CH 288,NONE,
REC OUT SLOT 1,NONE,
REC OUT SLOT 2,NONE,
REC OUT SLOT 3,NONE,
REC OUT SLOT 4,NONE,
REC OUT SLOT 5,NONE,
REC OUT SLOT 6,NONE,
REC OUT SLOT 7,NONE,
REC OUT SLOT 8,NONE,
REC OUT SLOT 9,NONE,
REC OUT SLOT 10,NONE,
REC OUT SLOT 11,NONE,
REC OUT SLOT 12,NONE,
REC OUT SLOT 13,NONE,
REC OUT SLOT 14,NONE,
REC OUT SLOT 15,NONE,
REC OUT SLOT 16,NONE,
